episode,env_steps,return,length,success,collisions,final_dist_m,goal_dist_m,alpha,curriculum_max_dist_m,target_entropy,stuck
235,31864,-1.65,9,0,5,1.258,2.137,0.0683,3.0,-3.455,1
236,32104,97.98,240,1,7,0.187,2.585,0.0685,3.0,-3.459,0
237,32113,123.94,9,1,0,0.261,2.7,0.0683,3.0,-3.459,0
238,32613,-26.64,500,0,1,2.934,2.97,0.0701,3.0,-3.466,0
239,32729,-28.97,116,0,22,2.086,2.77,0.0691,3.0,-3.468,1
240,32759,-4.51,30,0,12,0.343,2.442,0.0688,3.0,-3.468,1
241,32919,-118.43,160,0,61,10.829,2.786,0.0692,3.0,-3.47,1
242,32931,6.38,12,0,5,1.203,2.901,0.0691,3.0,-3.47,1
243,32937,122.99,6,1,0,0.221,2.55,0.069,3.0,-3.471,0
244,32943,-6.13,6,0,5,2.353,2.77,0.069,3.0,-3.471,1
245,32951,123.76,8,1,0,0.242,2.658,0.0689,3.0,-3.471,0
246,33008,123.33,57,1,0,0.236,2.854,0.0693,3.0,-3.472,0
247,33072,-22.52,64,0,23,1.825,2.893,0.0699,3.0,-3.472,1
248,33265,-57.78,193,0,9,5.288,2.275,0.0707,3.0,-3.475,1
249,33272,123.46,7,1,0,0.191,2.572,0.0707,3.0,-3.475,0
250,33772,-28.66,500,0,2,1.589,1.622,0.0693,3.0,-3.482,0
251,34272,-47.65,500,0,86,1.604,2.338,0.068,3.0,-3.49,0
252,34282,114.73,10,1,0,0.214,1.736,0.0679,3.0,-3.49,0
253,34296,116.73,14,1,0,0.297,2.04,0.0678,3.0,-3.49,0
254,34530,-36.54,234,0,24,0.907,1.423,0.0667,3.0,-3.493,1
255,34548,1.39,18,0,8,0.406,2.235,0.0665,3.0,-3.494,1
256,34554,121.11,6,1,0,0.23,2.372,0.0664,3.0,-3.494,0
257,34562,114.52,8,1,0,0.185,1.677,0.0663,3.0,-3.494,0
258,34568,109.66,6,1,0,0.222,1.219,0.0662,3.0,-3.494,0
259,34574,120.7,6,1,0,0.253,2.353,0.0661,3.0,-3.494,0
260,34580,119.15,6,1,0,0.144,2.089,0.066,3.0,-3.494,0
261,34588,-9.54,8,0,6,1.251,1.537,0.066,3.0,-3.494,1
262,34597,4.67,9,0,5,1.003,2.514,0.066,3.0,-3.494,1
263,34633,122.38,36,1,0,0.274,2.692,0.0661,3.0,-3.495,0
264,34636,110.07,3,1,0,0.277,1.299,0.0661,3.0,-3.495,0
265,34644,121.78,8,1,0,0.274,2.492,0.0662,3.0,-3.495,0
266,34656,-1.73,12,0,5,1.159,2.046,0.0662,3.0,-3.495,1
267,35026,68.16,370,1,18,0.29,1.956,0.067,3.0,-3.5,0
268,35060,118.8,34,1,0,0.22,2.27,0.0669,3.0,-3.501,0
269,35065,114.89,5,1,0,0.267,1.781,0.0669,3.0,-3.501,0
270,35082,-14.76,17,0,8,1.96,2.169,0.0669,3.0,-3.501,1
271,35155,121.99,73,1,0,0.298,2.862,0.0669,3.0,-3.502,0
272,35160,114.88,5,1,0,0.165,1.677,0.0669,3.0,-3.502,0
273,35660,-38.04,500,0,8,2.681,2.977,0.0671,3.0,-3.509,0
274,35679,-5.16,19,0,5,2.092,2.671,0.0672,3.0,-3.51,1
275,35698,111.1,19,1,4,0.289,2.295,0.0671,3.0,-3.51,0
276,35713,114.13,15,1,4,0.135,2.423,0.0669,3.0,-3.51,0
277,35717,110.14,4,1,0,0.137,1.172,0.0669,3.0,-3.51,0
278,35725,1.87,8,0,5,1.591,2.818,0.0668,3.0,-3.51,1
279,35738,122.6,13,1,0,0.273,2.598,0.0668,3.0,-3.511,0
280,35747,112.75,9,1,2,0.225,1.944,0.0668,3.0,-3.511,0
281,35761,112.13,14,1,6,0.287,2.77,0.0667,3.0,-3.511,0
282,36082,110.67,321,1,0,0.29,2.962,0.0674,3.0,-3.515,0
283,36116,111.14,34,1,2,0.289,1.973,0.0669,3.0,-3.516,0
284,36120,107.9,4,1,0,0.261,1.071,0.0669,3.0,-3.516,0
285,36147,120.51,27,1,0,0.232,2.419,0.0667,3.0,-3.516,0
286,36155,122.94,8,1,0,0.158,2.492,0.0665,3.0,-3.516,0
287,36165,119.37,10,1,0,0.263,2.25,0.0663,3.0,-3.517,0
288,36174,126.45,9,1,0,0.211,2.901,0.0663,3.0,-3.517,0
289,36179,110.22,5,1,0,0.235,1.282,0.0662,3.0,-3.517,0
290,36223,-81.28,44,0,10,8.046,2.137,0.0661,3.0,-3.517,1
291,36235,126.32,12,1,0,0.267,2.958,0.0661,3.24,-3.518,0
292,36248,123.52,13,1,0,0.291,2.708,0.0661,3.24,-3.518,0
293,36259,114.84,11,1,0,0.216,1.756,0.066,3.24,-3.518,0
294,36415,-52.08,156,0,26,4.417,2.989,0.0659,3.24,-3.52,1
295,36758,-36.78,343,0,29,0.378,1.415,0.0671,3.24,-3.525,1
296,36774,122.11,16,1,0,0.187,2.478,0.0671,3.24,-3.525,0
297,36781,122.14,7,1,0,0.261,2.51,0.067,3.24,-3.525,0
298,36790,123.83,9,1,0,0.23,2.658,0.067,3.24,-3.526,0
299,36794,108.32,4,1,0,0.271,1.122,0.067,3.24,-3.526,0
300,36804,119.8,10,1,0,0.265,2.295,0.0668,3.24,-3.526,0
301,36813,124.64,9,1,1,0.284,2.992,0.0666,3.5,-3.526,0
302,36818,113.22,5,1,1,0.215,1.762,0.0665,3.5,-3.526,0
303,36823,117.37,5,1,0,0.278,2.04,0.0665,3.5,-3.526,0
304,36850,129.49,27,1,0,0.3,3.384,0.0666,3.5,-3.526,0
305,37350,-20.26,500,0,0,2.53,3.004,0.0669,3.5,-3.534,0
306,37358,-1.22,8,0,5,0.611,1.53,0.067,3.5,-3.534,1
307,37414,112.74,56,1,2,0.276,2.23,0.067,3.5,-3.534,0
308,37426,127.24,12,1,0,0.294,3.078,0.067,3.5,-3.535,0
309,37436,129.09,10,1,0,0.223,3.182,0.067,3.5,-3.535,0
310,37459,116.22,23,1,3,0.195,2.532,0.0672,3.5,-3.535,0
311,37537,-12.61,78,0,27,0.385,2.514,0.0671,3.78,-3.536,1
312,38037,-41.28,500,0,4,3.247,2.419,0.0663,3.78,-3.543,0
313,38070,-66.07,33,0,10,7.638,3.196,0.0668,3.78,-3.544,1
314,38215,-0.82,145,0,13,0.413,3.656,0.067,3.78,-3.546,1
315,38228,4.49,13,0,6,0.581,2.295,0.067,3.78,-3.546,1
316,38247,127.71,19,1,0,0.288,3.154,0.0671,3.78,-3.546,0
317,38322,114.57,75,1,8,0.211,3.643,0.0672,3.78,-3.547,0
318,38333,130.71,11,1,0,0.275,3.401,0.0673,3.78,-3.548,0
319,38833,-16.24,500,0,1,1.295,2.372,0.0667,3.78,-3.555,0
320,38840,-2.94,7,0,5,2.384,3.125,0.0666,3.78,-3.555,1
321,38854,123.24,14,1,0,0.242,2.637,0.0666,4.08,-3.555,0
322,38863,131.41,9,1,0,0.271,3.457,0.0666,4.08,-3.555,0
323,38876,6.66,13,0,5,0.793,2.523,0.0666,4.08,-3.555,1
324,38887,130.65,11,1,0,0.156,3.276,0.0666,4.08,-3.556,0
325,38891,111.09,4,1,0,0.237,1.367,0.0666,4.08,-3.556,0
326,38996,-38.01,105,0,31,4.292,4.017,0.0662,4.08,-3.557,1
327,39002,116.88,6,1,0,0.261,1.979,0.0662,4.08,-3.557,0
328,39021,-17.67,19,0,14,2.752,3.88,0.0661,4.08,-3.557,1
329,39046,127.61,25,1,0,0.264,3.15,0.0659,4.08,-3.558,0
330,39065,135.57,19,1,0,0.219,3.871,0.0657,4.08,-3.558,0
331,39075,135.49,10,1,0,0.237,3.836,0.0657,4.41,-3.558,0
332,39542,-38.52,467,0,40,2.836,4.319,0.0667,4.41,-3.565,1
333,39552,138.45,10,1,0,0.221,4.116,0.0668,4.41,-3.565,0
334,39575,5.17,23,0,11,1.025,3.856,0.0666,4.41,-3.565,1
335,39584,127.0,9,1,0,0.293,3.037,0.0666,4.41,-3.565,0
336,39603,-7.79,19,0,10,2.589,3.906,0.0666,4.41,-3.566,1
337,39686,-19.56,83,0,22,0.328,1.787,0.0671,4.41,-3.567,1
338,39754,-11.96,68,0,26,1.819,3.963,0.0673,4.41,-3.568,1
339,40104,-46.76,350,0,50,3.998,4.072,0.0683,4.41,-3.573,1
340,40119,12.84,15,0,5,0.917,3.276,0.0682,4.41,-3.573,1
341,40134,18.93,15,0,5,0.877,3.845,0.0683,4.41,-3.573,1
342,40155,-1.7,21,0,5,1.684,2.62,0.0686,4.41,-3.574,1
343,40174,105.17,19,1,4,0.146,1.559,0.0686,4.41,-3.574,0
344,40179,117.26,5,1,0,0.295,2.046,0.0686,4.41,-3.574,0
345,40215,-42.63,36,0,9,6.443,4.16,0.0688,4.41,-3.575,1
346,40239,22.32,24,0,6,0.707,4.259,0.0688,4.41,-3.575,1
347,40257,-2.91,18,0,9,2.563,4.162,0.0686,4.41,-3.575,1
348,40269,-0.59,12,0,6,2.39,3.591,0.0684,4.41,-3.575,1
349,40311,0.46,42,0,7,2.141,3.798,0.0687,4.41,-3.576,1
